segment_id,material,risk_method,risk_score,risk_band
c00c5a73-3894-406a-a4e8-e81379749feb,CON,PCCP_RULE,2.0,Medium
f913a746-d9e6-4597-8468-6118c56ed262,CON,PCCP_RULE,2.0,Medium
25f659f9-80c2-4af4-a43a-63c31a826132,CON,PCCP_RULE,2.0,Medium
13f47c70-1f04-4225-894d-c5dbb0847f03,CON,PCCP_RULE,1.0,Low
a80f627b-d59a-424d-a340-ccf68e5f6f2b,CON,PCCP_RULE,2.0,Medium
492593f1-46eb-4d4f-a6de-d1b91e97acbb,CON,PCCP_RULE,1.0,Low
5e7edfb0-3776-44dd-82d8-9db17f447343,CON,PCCP_RULE,2.0,Medium
e4b21eba-82b5-49a8-9f73-2539b2a50d7a,CON,PCCP_RULE,2.0,Medium
f9e21d6e-c6d4-4697-8d6d-9743024ec55e,CON,PCCP_RULE,1.0,Low
2754b5d3-3a98-4103-84c6-e04e0dfaeda9,CON,PCCP_RULE,2.0,Medium
b5237ac5-52e6-49cf-a845-1bcfa02c066c,CON,PCCP_RULE,1.0,Low
cf2e5c37-dfe4-4d2e-9d3d-e2ebc7340f9b,CON,PCCP_RULE,1.0,Low
bab7fa9c-c7f9-42ff-a5fb-f8d17d4c0a09,CON,PCCP_RULE,1.0,Low
105ef781-992b-4e68-8244-e46015313072,CON,PCCP_RULE,1.0,Low
71305f98-3567-4f97-a5f6-58dcace8b590,CON,PCCP_RULE,1.0,Low
53685905-3060-47d5-b4bf-cbd092f7555c,CON,PCCP_RULE,1.0,Low
07545889-4493-410d-b4f4-9049f295a644,CON,PCCP_RULE,1.0,Low
da95bef7-443b-4b0a-8708-59b1cba1a768,CON,PCCP_RULE,1.0,Low
a2a208ac-d25c-4af1-8196-be8ab2db4d91,CON,PCCP_RULE,1.0,Low
0fa58b67-1b1c-4a53-a330-ad8ce9a3e954,CON,PCCP_RULE,1.0,Low
23d0ef22-0661-4650-9756-2755d3ed28f6,CON,PCCP_RULE,1.0,Low
936880b5-f0ae-452a-9be6-8ab15c53afe0,CON,PCCP_RULE,1.0,Low
8ac7fcc0-44cd-4c9f-b17c-dde5e55196a6,CON,PCCP_RULE,1.0,Low
cac9854e-1097-4a49-919e-573c0dcee4e9,CON,PCCP_RULE,1.0,Low
0fc8741b-c3a5-46b8-a67b-5b24766f676d,CON,PCCP_RULE,1.0,Low
