material,diam,year,count
PE,250,2001,3
AC,250,1957,3
AC,300,1978,3
YDI,250,1985,3
ECI,300,1966,3
CU,40,1986,3
YDI,300,1986,3
PCI,300,1966,3
CU,40,1970,3
CI,400,1948,3
YST,400,1984,3
DI,400,1963,3
TUDI,250,1977,3
CI,450,1961,3
CU,20,1910,3
UNK,150,2021,3
ST,300,2020,3
UNK,150,2006,3
CU,50,2017,3
YDI,150,2008,3
PE,150,2023,3
ST,400,1980,3
ST,200,2023,3
PVC,250,2024,3
CI,250,1977,3
YDI,200,2021,3
PE,50,2024,3
CIPP,300,2020,2
ST,300,1980,2
CON,900,2002,2
PE,300,1995,2
PVC,500,1989,2
CU,25,1975,2
CU,50,2003,2
UNK,150,2018,2
ST,200,2019,2
ST,750,2017,2
YDI,150,1998,2
CON,400,2021,2
CU,50,1990,2
CU,40,1993,2
CU,50,2006,2
CU,50,1957,2
CI,100,1970,2
UNK,150,1996,2
CU,50,1985,2
PE,40,1999,2
CU,25,1992,2
ST,1050,2019,2
CON,900,1997,2
PVCG,400,2005,2
YST,300,1983,2
CON,600,1969,2
YDI,300,1987,2
ST,300,1962,2
CI,150,1913,2
PE,300,2017,2
CU,25,1972,2
YST,300,1980,2
ECI,200,1967,2
CU,50,1976,2
PDI,100,1970,2
CU,40,1965,2
CU,50,1986,2
PE,125,1977,2
PE,50,1997,2
CU,20,1952,2
TUDI,100,1979,2
YDI,150,1991,2
CU,50,1975,2
PE,500,2003,2
CON,1500,1994,2
PVC,500,1994,2
CON,600,1991,2
PVC,250,1976,2
PE,350,2001,2
ST,400,1979,2
PE,400,2001,2
CON,750,1962,2
CU,20,1959,2
PVC,900,1999,2
CU,25,1976,2
YDI,200,2003,2
ECI,250,1961,2
CU,50,1968,2
ST,400,1960,2
CU,40,1968,2
CU,50,2002,2
CI,100,1945,2
PCI,150,1964,2
ST,300,1994,2
ST,900,1961,2
ST,600,2017,2
AC,400,2014,2
PE,150,1996,2
CI,100,1926,2
CON,1050,1979,2
CON,750,1987,2
ST,900,1976,2
PVC,100,1985,2
ST,400,2001,2
ST,150,1972,2
PE,250,1994,2
YST,250,1991,2
PE,200,1989,2
PE,200,1991,2
CI,250,1929,2
CI,100,1949,2
PE,125,1976,2
ST,600,1976,2
ST,600,1956,2
ST,200,1962,2
PVCG,150,1985,2
DI,150,1978,2
CI,200,1942,2
DI,400,2019,2
CU,50,1984,2
CU,50,1963,2
CI,250,1945,2
CON,750,1996,2
CON,750,1997,2
PE,250,1998,2
CI,150,1920,2
ST,250,1980,2
YST,200,1980,2
CI,150,2018,2
DI,200,1973,2
CU,40,1957,2
CON,1050,1956,2
PE,75,1998,2
CU,50,1969,2
PRIM,200,2017,2
ST,250,1967,2
CON,500,1994,2
DI,150,1964,2
ST,750,2015,2
ST,350,2000,2
ST,200,1976,2
PVC,150,1910,2
UNK,150,1974,2
ST,100,2005,2
UNK,250,1961,2
UNK,150,1985,2
UNK,150,1961,2
ST,1200,2014,2
CU,40,1994,2
PRIM,250,2017,2
PDI,150,2008,2
ST,100,1999,2
PE,50,2016,2
PDI,300,2018,2
ST,200,2016,2
ST,50,2016,2
CON,1650,2017,2
UNK,150,2005,2
CI,500,1962,2
ST,900,2019,2
ST,100,2019,2
PE,150,2018,2
ST,75,2015,2
UNK,150,2000,2
YST,250,1977,2
PE,50,2013,2
ST,100,2011,2
CI,500,1959,2
CU,40,1910,2
CI,400,1959,2
CON,1200,1980,2
ST,750,1968,2
CU,40,1991,2
YDI,150,1987,2
UNK,150,1999,2
ST,300,1996,2
CI,100,1928,2
PE,150,1993,2
ST,900,1973,2
CI,100,1932,2
PVCG,300,2003,2
YDI,250,1996,2
CON,1650,1975,2
ST,100,2001,2
ST,100,1957,2
ST,100,1988,2
ST,100,1976,2
ST,150,1971,2
ST,50,1976,2
ST,100,1991,2
ST,100,1974,2
PDI,200,1967,2
CON,600,1981,2
ST,900,1971,2
PE,300,2005,2
AC,250,1971,2
CI,100,1911,2
YDI,200,1973,2
ST,300,1931,2
ST,900,1988,2
ST,250,1995,2
CI,450,1964,2
CU,25,1960,2
YDI,100,1976,2
CI,100,1951,2
ST,750,1966,2
ST,75,1957,2
ST,100,1953,2
CON,750,2000,2
ST,100,1973,2
ST,100,1956,2
PVCG,250,2005,2
CON,500,1975,2
ST,0,1960,2
PVCG,200,2005,2
ST,100,1961,2
CON,1200,2015,2
CON,1500,2002,2
PE,500,2005,2
PE,450,2007,2
CON,900,2007,2
CU,25,1980,2
PE,300,2012,2
ST,100,2012,2
CI,200,1931,2
ST,750,2008,2
PE,150,2012,2
PVC,500,2007,2
YST,500,1976,2
ST,150,2008,2
ST,100,2008,2
PE,50,2009,2
YDI,200,2010,2
YDI,150,2010,2
YDI,300,2002,2
ST,1200,1962,2
PVC,450,2023,2
AC,450,1957,2
ST,400,1966,2
ST,250,1970,2
AC,200,1962,2
PE,600,2012,2
CON,750,1990,2
DI,400,1973,2
PE,150,2011,2
DI,300,1975,2
PDI,300,1966,2
PE,300,2013,2
UNK,50,1979,2
ST,200,1970,2
CON,900,2014,2
ST,1050,2015,2
PDI,250,1964,2
CI,400,1923,2
YDI,250,2006,2
ST,500,2015,2
DI,200,1975,2
CON,1200,1983,2
ST,1066,2010,2
PVCU,250,2015,2
PE,125,1991,2
CI,150,2005,2
ST,250,1973,2
ST,1050,1996,2
PE,250,1985,2
AC,400,1970,2
ST,500,1960,2
CON,500,1961,2
CU,25,1991,2
ST,400,1971,2
CU,50,1981,2
ST,500,1962,2
CON,600,1976,2
CON,1050,1998,2
PVC,600,1994,2
ST,150,1991,2
CU,25,1948,2
ST,1200,1973,2
CI,150,1925,2
YST,400,1978,2
PE,200,1998,2
ECI,200,1966,2
ST,300,1979,2
ST,300,1970,2
CI,350,1953,2
ST,400,1972,2
ST,900,2018,2
PVC,100,1989,2
ST,1050,2003,2
ST,750,1972,2
ST,500,1972,2
OTH,40,1910,2
YDI,150,1988,2
CI,100,1962,2
PDI,100,1968,2
CU,12,1910,2
CI,150,2022,2
UNK,150,2013,2
CI,150,1974,2
CU,50,2023,2
ST,200,2021,2
ST,750,2020,2
ECI,150,1966,2
CI,300,1919,2
UNK,150,1977,2
UNK,150,2017,2
ST,500,2023,2
UNK,150,2007,2
CI,100,2008,2
CU,50,2019,2
BDI,400,2018,2
DI,150,1982,2
CON,400,1980,2
BDI,150,2019,2
ST,1050,2022,2
PE,150,2021,2
AC,450,1958,2
CON,900,1971,2
CU,25,2017,2
FPVC,900,2021,2
UNK,150,1997,2
ST,750,2011,2
CON,750,1931,2
UNK,150,2015,2
ST,100,2023,2
PVC,50,2023,2
UNK,150,1980,2
CI,150,2007,2
CU,50,2022,2
CON,1500,1975,2
CI,300,1928,2
DI,300,1979,2
ST,900,2010,2
PVC,150,2024,2
ST,150,1983,1
CU,50,1954,1
ST,1200,1974,1
CU,20,1954,1
UNK,40,1994,1
UNK,100,2003,1
CU,50,1989,1
CU,25,1996,1
UNK,150,2010,1
CI,150,1992,1
CU,20,1956,1
PE,50,2001,1
DI,150,1999,1
YDI,150,1974,1
CU,150,2003,1
CU,40,1975,1
PE,400,1999,1
CON,1200,1998,1
ST,250,1946,1
PE,125,1980,1
CON,600,1995,1
CU,16,1910,1
CI,250,1911,1
ECI,150,1967,1
PVC,500,2000,1
ST,1050,1988,1
ST,200,1997,1
CU,40,1967,1
CU,25,1952,1
CU,40,1945,1
YST,250,1988,1
PE,300,1979,1
CU,40,1999,1
PE,250,1999,1
PE,50,2004,1
YDI,300,2003,1
CI,350,1963,1
ST,150,1968,1
YDI,200,1998,1
CI,450,1953,1
ST,250,1990,1
CU,40,1937,1
CI,100,1937,1
CON,900,2008,1
YDI,500,1981,1
YDI,500,1983,1
PVCG,100,1992,1
PE,150,2008,1
AC,250,1960,1
PVCG,100,2002,1
PE,450,2006,1
PVC,500,2003,1
CON,1200,2000,1
PE,450,2003,1
CU,50,1965,1
PE,350,2003,1
ST,250,1991,1
CU,50,1980,1
CON,1050,1984,1
OTH,100,1945,1
CI,200,1911,1
CI,100,1939,1
CI,100,1942,1
PVCG,100,1995,1
PVC,100,1994,1
PE,150,1979,1
CU,25,1950,1
CON,900,1965,1
ST,1200,1984,1
PE,100,1993,1
CU,40,2002,1
YDI,200,1987,1
CU,50,1996,1
YST,600,1994,1
PE,125,2007,1
PE,75,2001,1
CON,450,1958,1
CON,600,1975,1
CU,40,1984,1
DI,100,1974,1
ST,250,1955,1
FPVC,150,1977,1
PE,300,2003,1
PE,50,1991,1
ST,50,1995,1
CU,25,1951,1
CI,250,1913,1
CU,40,1912,1
CU,25,1930,1
CU,20,1911,1
CU,20,1989,1
YST,250,1997,1
PE,50,2014,1
YUDI,100,1980,1
CI,150,1918,1
YUDI,300,1982,1
TUDI,200,1977,1
YDI,300,2001,1
ST,300,1974,1
PE,200,2008,1
CU,50,1994,1
PE,200,2002,1
PE,400,2017,1
ST,1050,2000,1
CU,50,1960,1
ST,150,1966,1
YST,300,1990,1
ST,150,1957,1
YUDI,200,1977,1
FPVC,200,1977,1
YUDI,150,1976,1
PE,350,2002,1
ST,400,1970,1
ST,100,2017,1
CU,50,2004,1
PE,250,2016,1
ST,900,2020,1
CI,150,1915,1
PE,200,2015,1
PE,500,2018,1
UNK,150,1963,1
ST,75,2005,1
ST,1050,2018,1
UNK,0,2017,1
YDI,300,1990,1
UNK,25,1994,1
PE,50,1995,1
CU,25,1978,1
PDI,150,2005,1
YDI,200,1992,1
UNK,25,1969,1
PVC,40,1979,1
UNK,40,1985,1
UNK,150,1958,1
UNK,40,1972,1
CU,25,1988,1
PE,350,2016,1
UNK,300,1981,1
UNK,300,1973,1
ST,100,2007,1
PE,500,2017,1
PE,200,2017,1
DI,150,2005,1
CI,150,2001,1
PE,400,2018,1
PE,200,1990,1
CIPP,250,2020,1
ST,100,2003,1
CI,150,2017,1
PVC,750,2018,1
PVC,750,2017,1
ST,25,1900,1
CU,25,1985,1
UNK,50,2018,1
PE,100,2018,1
UNK,300,1957,1
OTH,150,1993,1
UNK,50,1997,1
CU,20,1978,1
PE,150,2002,1
CON,1050,1997,1
CU,50,1914,1
PDI,300,1979,1
ST,300,1969,1
PE,200,2006,1
PE,150,2006,1
CI,100,1915,1
PVCG,300,1999,1
ST,1050,1995,1
ST,200,1975,1
ST,400,1994,1
PE,150,1980,1
CON,750,1992,1
PE,150,2013,1
PE,250,1995,1
CU,25,1912,1
YDI,250,1987,1
CU,50,1982,1
ST,150,2003,1
PE,200,1985,1
PE,125,2001,1
CU,40,1930,1
YUDI,300,1977,1
PE,50,1979,1
PE,200,1983,1
CU,25,1967,1
ST,200,1974,1
ST,900,1990,1
CON,1350,1981,1
ST,75,1981,1
CON,900,1992,1
ST,150,1986,1
ST,150,1984,1
ST,100,1986,1
ST,100,1995,1
ST,100,1990,1
PE,250,2000,1
CU,32,1962,1
ST,100,1996,1
ST,150,1987,1
ST,0,1972,1
YDI,100,1977,1
PVC,600,2014,1
YUDI,300,1978,1
ST,1200,2018,1
PVC,150,1963,1
YDI,200,1990,1
CU,25,1973,1
CI,50,1940,1
PVC,400,1960,1
YST,400,1981,1
PE,40,2002,1
PE,150,1987,1
ST,200,1979,1
CON,1050,2005,1
ST,100,2000,1
YDI,250,2005,1
CU,12,1961,1
YDI,200,2002,1
ST,100,2002,1
ST,900,2006,1
PVCG,150,2006,1
PE,350,2006,1
CON,600,2004,1
CON,500,1991,1
CU,40,1960,1
PE,400,2005,1
PE,300,2010,1
PE,250,2012,1
PE,40,2008,1
PE,350,2004,1
CU,40,2011,1
ST,200,2011,1
CU,16,1938,1
CU,20,1935,1
CU,20,1937,1
CU,12,1941,1
CU,25,1939,1
CU,20,1947,1
CI,450,1950,1
PE,40,2004,1
PE,250,2010,1
CU,50,1931,1
PE,250,2008,1
CU,40,1989,1
CU,25,1971,1
ST,75,1960,1
PE,50,2006,1
CU,25,1986,1
PE,400,2000,1
PE,250,2013,1
CU,25,1957,1
PE,450,2012,1
PE,500,2012,1
CU,20,1967,1
YDI,250,2010,1
DI,100,2012,1
AC,250,1959,1
CU,25,1936,1
YDI,150,2005,1
CON,750,1984,1
PVC,50,2003,1
PE,350,2007,1
PE,200,2007,1
PVC,350,2013,1
PE,200,2013,1
PE,350,2008,1
PE,450,2008,1
ST,400,2003,1
CON,1050,2007,1
CON,1350,2006,1
PDI,300,2016,1
CI,250,2000,1
CI,100,2010,1
CI,500,1963,1
ST,300,1968,1
YST,300,1976,1
DI,150,2008,1
PE,300,2019,1
PE,250,2019,1
UNK,150,1979,1
CU,0,1969,1
ST,75,1964,1
CON,900,1951,1
DI,100,1977,1
PDI,200,1964,1
PE,350,2014,1
PE,200,1995,1
PRIM,150,2017,1
PE,125,2004,1
PE,150,1976,1
CU,40,1954,1
DI,250,2014,1
ST,100,2006,1
ST,75,2012,1
ST,600,2013,1
UNK,100,1973,1
CI,150,1987,1
ST,1118,2015,1
ST,600,1952,1
CON,600,1986,1
AC,350,1969,1
CU,50,1970,1
PE,150,2000,1
ST,750,2003,1
CON,1200,2002,1
CON,600,1982,1
CU,20,1969,1
ST,300,1977,1
CU,40,1969,1
YST,150,1982,1
CON,1350,1977,1
YDI,450,1981,1
CON,600,1956,1
PVC,350,1998,1
CI,400,1952,1
CU,50,1964,1
PE,150,2003,1
ST,150,1956,1
PE,200,1999,1
CON,400,1994,1
CU,32,1985,1
CU,50,1948,1
ST,200,1980,1
PE,250,2003,1
PE,350,1996,1
ST,400,1981,1
PE,400,1990,1
ST,250,1976,1
AC,200,1973,1
PVCG,300,2005,1
YUDI,200,1981,1
YST,200,1978,1
PE,150,2001,1
YDI,250,1994,1
YST,250,1979,1
ST,300,1964,1
ST,250,1996,1
ST,1050,1993,1
ST,150,1985,1
YUDI,400,1981,1
YDI,200,1996,1
ST,400,1990,1
PE,150,1982,1
YDI,250,1995,1
ST,300,1984,1
YST,200,1983,1
YUDI,100,1977,1
PDI,300,1978,1
ST,200,1984,1
YST,500,1986,1
YST,400,1986,1
FPVC,250,1977,1
CI,500,1967,1
YST,250,1974,1
CU,40,1985,1
PE,250,1991,1
ST,200,1990,1
YST,300,1987,1
PVC,400,1984,1
ST,150,1999,1
CU,50,1912,1
CU,32,1957,1
ST,150,1900,1
PE,200,2018,1
PE,40,1990,1
YST,300,1991,1
PVCG,100,2001,1
PVCG,150,2005,1
CU,40,1956,1
PVC,100,1995,1
CI,400,1966,1
CI,50,1953,1
YST,150,1979,1
ST,300,1990,1
YST,250,1962,1
PVCG,300,2002,1
CU,40,1940,1
CI,400,1954,1
CI,150,1935,1
PDI,150,1900,1
ST,400,1961,1
PVC,350,2019,1
CU,40,1959,1
CI,150,1934,1
PE,700,1994,1
AC,150,1973,1
CIPP,150,2018,1
ST,150,1998,1
PE,50,1986,1
PVCG,300,1989,1
DI,150,1963,1
CON,1050,1992,1
YDI,150,1994,1
ECI,300,1964,1
PVC,600,1998,1
CI,100,1938,1
OTH,50,1910,1
ST,600,1974,1
CU,32,1979,1
CI,200,1940,1
AC,150,1970,1
CU,20,1914,1
DI,200,2019,1
CU,25,1955,1
CU,75,1972,1
CU,50,1983,1
OTH,25,1951,1
ST,400,1947,1
CU,50,1961,1
ST,150,1982,1
PE,125,1979,1
PRIM,300,2017,1
PVC,400,1981,1
ECI,100,1965,1
ST,200,1977,1
ST,500,1930,1
PE,150,1995,1
ST,150,1954,1
YST,150,1996,1
CU,20,1958,1
YST,250,1986,1
CI,200,1912,1
PDI,100,1969,1
CON,600,1961,1
PE,200,1994,1
AC,150,1961,1
YDI,150,2007,1
PVC,600,1988,1
PEG,150,1997,1
ST,500,1987,1
ST,1950,1975,1
YST,250,1975,1
PDI,300,2021,1
PE,250,2020,1
YDI,350,2017,1
AC,250,1973,1
UNK,20,1985,1
UNK,50,1985,1
UNK,25,1967,1
PVC,150,1961,1
YDI,100,1981,1
PE,450,2017,1
UNK,50,2021,1
ST,300,2033,1
PE,0,2023,1
ST,150,2020,1
UNK,150,1984,1
UNK,50,2022,1
CU,40,1966,1
PVC,150,1959,1
CU,50,1993,1
CI,150,2002,1
CI,150,1982,1
PE,50,2003,1
PE,100,2003,1
CI,200,2020,1
ST,250,1985,1
CI,100,1973,1
PE,300,2006,1
PE,400,2021,1
PE,300,2021,1
PE,450,2021,1
YST,350,1999,1
PE,100,1970,1
ECI,150,2003,1
ST,150,1975,1
PE,200,2003,1
PVC,500,2019,1
ST,1200,2019,1
PE,250,2022,1
PE,200,2022,1
CI,250,1982,1
CI,150,1985,1
CI,150,1999,1
ST,450,2023,1
PVC,500,2023,1
UNK,100,1992,1
CI,150,2019,1
PE,150,2020,1
UNK,50,2020,1
YDI,200,2019,1
UNK,100,2017,1
UNK,100,1977,1
PE,50,2015,1
CI,400,1963,1
CON,600,2006,1
CON,1200,1977,1
PE,0,2017,1
PE,50,2008,1
CI,600,1955,1
ST,100,1971,1
YDI,300,2021,1
CON,400,1956,1
PE,300,2020,1
PE,200,2023,1
CU,25,1947,1
CU,50,1955,1
CU,50,1950,1
CU,15,1957,1
YDI,150,2016,1
CU,12,1942,1
CU,12,1937,1
YDI,100,2018,1
CI,150,1971,1
YDI,150,2006,1
DI,100,1970,1
ST,400,1962,1
CI,300,1982,1
CI,200,1982,1
UNK,150,1975,1
BDI,200,2016,1
UNK,150,2016,1
UNK,150,1994,1
ST,1350,2022,1
CU,25,1989,1
ST,1350,2020,1
PVC,300,2029,1
ST,100,2021,1
ST,250,2021,1
CU,20,1944,1
CU,50,2016,1
UNK,250,2008,1
CI,150,1996,1
UNK,150,1978,1
OTH,150,2012,1
CI,450,1951,1
CI,150,2021,1
UNK,150,2023,1
ST,400,1955,1
DI,250,1977,1
CI,150,2023,1
CI,150,1976,1
UNK,150,1976,1
ST,500,1965,1
CI,300,1969,1
CI,500,1929,1
UNK,150,2004,1
UNK,150,2008,1
CI,200,2023,1
DI,200,1953,1
ST,1950,2024,1
PDI,150,2006,1
CU,40,1953,1
CU,25,2023,1
ST,300,2010,1
UNK,150,1972,1
PDI,100,2003,1
ST,600,2023,1
CU,0,1964,1
PVC,100,1981,1
PE,100,1997,1
CU,75,1964,1
PE,500,2013,1
PE,350,1991,1
PE,500,1991,1
UNK,150,1993,1
DI,200,2020,1
UNK,50,2024,1
AC,400,1966,1
PVC,40,2024,1
PE,25,2024,1
PVC,150,1969,1
PE,450,2023,1
UNK,250,1974,1
PVC,200,2025,1
PVC,38,2021,1
