globalid,functional_class,uplift_lof,min_dist_m,buffer_m,source_ctp_class
723c9bf3-543b-4e30-ab51-d8fa4ef81c40,major_arterial,1.5,0.000,2.0,Arterial Street
a8bb46f5-3b64-403d-b221-872969846d9d,major_arterial,1.5,0.105,2.0,Arterial Street
fa4ac3d9-563a-4b27-a500-3f3d3b22a37b,major_arterial,1.5,0.038,2.0,Arterial Street
97baa18c-f6c1-4efb-9863-55dab1153785,major_arterial,1.5,1.752,2.0,Arterial Street
e09b2396-ae13-49b6-acdf-93a9728dac67,major_arterial,1.5,0.415,2.0,Arterial Street
94a92de5-8ea6-4952-b90f-fedba3b508ed,major_arterial,1.5,0.000,2.0,Arterial Street
b6b747a9-e442-49fd-acbe-b72e0aa380f1,major_arterial,1.5,1.246,2.0,Arterial Street
2f609a06-b5bc-441c-996c-3eb6506173b4,major_arterial,1.5,0.000,2.0,Arterial Street
55e85bb4-3188-4a14-b313-6a9fc342d811,major_arterial,1.5,1.009,2.0,Local Arterial
8052f40a-eb63-4d4b-8d0c-0dbcdc364da5,major_arterial,1.5,1.480,2.0,Local Arterial
f8c3b27f-f484-4a46-96ee-92180af37519,major_arterial,1.5,0.000,2.0,Local Arterial
a45bf610-78d6-4d6c-9a0f-87edc06e628e,major_arterial,1.5,1.966,2.0,Local Arterial
c9b8666a-3bb5-45b6-936b-1399a146cebe,major_arterial,1.5,0.000,2.0,Arterial Street
6028fa45-7f1a-44be-98c3-81d8959b666b,major_arterial,1.5,0.514,2.0,Arterial Street
4974870f-50a0-4157-95c5-972b361f73a2,major_arterial,1.5,0.000,2.0,Arterial Street
66a18313-e5e1-4ffc-9f41-ba6e2c700981,major_arterial,1.5,0.000,2.0,Arterial Street
658f9ecd-6560-49e9-9655-c9ed09cc2ebf,major_arterial,1.5,0.401,2.0,Arterial Street
ddcfa65e-5936-4235-87b5-68eac61577a1,major_arterial,1.5,0.327,2.0,Arterial Street
8379c617-d1ef-4d2f-8d7b-6b356c5d7d46,major_arterial,1.5,0.000,2.0,Arterial Street
9eea85d9-6234-47d2-a6c9-3751700df285,major_arterial,1.5,0.000,2.0,Arterial Street
4c14c531-abcf-42f0-933c-d20880086df9,minor_arterial,1.0,0.000,2.0,Industrial Arterial
0fb80613-ebfd-4107-92c5-51a0e759f048,minor_arterial,1.0,0.000,2.0,Industrial Arterial
8b7289dc-9cb1-4cd2-aa70-06583b9531c9,major_arterial,1.5,0.000,2.0,Arterial Street
e4c06016-a515-4f5a-9ef2-0d3b3059d48f,major_arterial,1.5,0.000,2.0,Arterial Street
7c18e99f-e2b6-44a3-8fb8-895a641671a9,major_arterial,1.5,0.000,2.0,Arterial Street
85f7df94-f2d3-4ce5-b847-df37fc5629c7,major_arterial,1.5,0.000,2.0,Arterial Street
acea3a82-5257-460f-a448-c750ef351adc,major_arterial,1.5,0.000,2.0,Arterial Street
43b416d0-868c-486f-a009-f65cc68143ff,major_arterial,1.5,0.000,2.0,Arterial Street
fab3bff4-b59f-4eae-bcce-1763d369d028,expressway_freeway,2.0,0.000,2.0,Skeletal Road
ea5422f4-7b8a-40d5-96ab-28bd23a47588,expressway_freeway,2.0,0.000,2.0,Skeletal Road
830b6903-8cff-4876-ad39-d1edb3ddfe0f,expressway_freeway,2.0,0.000,2.0,Skeletal Road
5cbec20a-618d-456b-8e89-a0a069ef3384,expressway_freeway,2.0,0.000,2.0,Skeletal Road
80d9606d-5e22-4363-b20a-245cc2cdefef,major_arterial,1.5,0.000,2.0,Arterial Street
069ac8f7-9d96-46c8-b9ad-a58ec0270458,minor_arterial,1.0,1.149,2.0,Industrial Arterial
59076bbc-5829-4af0-bffb-927b4f8713cc,major_arterial,1.5,0.000,2.0,Arterial Street
79e49d14-531a-45f5-b2a3-b932a3043a3a,major_arterial,1.5,0.000,2.0,Arterial Street
73e3b1c3-c18a-4661-8181-4a8ab6a89556,major_arterial,1.5,1.687,2.0,Arterial Street
ffec9a40-422b-4c15-8419-986d8d643e10,major_arterial,1.5,1.316,2.0,Arterial Street
2f86b823-ed9a-4be4-affc-e9ee57183530,minor_arterial,1.0,0.000,2.0,Urban Boulevard
0e262777-7c10-42cb-9992-c9a6384132a3,major_arterial,1.5,1.275,2.0,Arterial Street
7162b841-4815-40b0-b407-55601bec26a6,major_arterial,1.5,0.000,2.0,Arterial Street
46aa3572-5426-4ccc-b76d-5144d1a7d4ef,minor_arterial,1.0,1.510,2.0,Industrial Arterial
63a2a67f-8689-4aa0-a40f-fee955b9c113,major_arterial,1.5,0.000,2.0,Parkway
af47212e-f818-45f8-8ae7-c26151a37774,major_arterial,1.5,1.648,2.0,Arterial Street
22071c62-3d11-4c04-a32a-0e5679c79cee,major_arterial,1.5,1.643,2.0,Arterial Street
a8f31b2d-b302-4daa-821f-4fad64bec69f,major_arterial,1.5,0.000,2.0,Arterial Street
1661b445-a119-40c9-bb85-47cc1672e104,major_arterial,1.5,0.000,2.0,Arterial Street
6102cda9-61ae-4141-bdb9-8a7bea4bde40,major_arterial,1.5,0.000,2.0,Arterial Street
8eb801b8-037b-436a-88cb-0136936a5e65,major_arterial,1.5,0.841,2.0,Arterial Street
599bbbdc-259b-46e8-9f80-0730f013d325,major_arterial,1.5,1.845,2.0,Arterial Street
573adbd7-99e8-458d-b1f5-d4cecdd456c1,expressway_freeway,2.0,1.407,2.0,Skeletal Road
2553403a-67b2-42ae-b239-9255b66648f8,major_arterial,1.5,0.000,2.0,Arterial Street
baa04ca5-b507-46b7-8504-0b41a07ad5cd,major_arterial,1.5,0.000,2.0,Arterial Street
b7cf668c-0dd0-40ce-80b3-0ea31f6e64a9,major_arterial,1.5,0.000,2.0,Arterial Street
093af591-910c-462d-b8c2-867d9895fda3,minor_arterial,1.0,0.569,2.0,Industrial Arterial
9ae86d7e-e4da-4a67-bb5b-77ecd09fa3bf,major_arterial,1.5,1.489,2.0,Arterial Street
e3e3f287-3064-4e24-a79a-4053270ebaa2,major_arterial,1.5,0.000,2.0,Arterial Street
00565906-4f06-4db1-a4bc-a8cd2a647613,major_arterial,1.5,1.618,2.0,Arterial Street
bb4aae2c-16fc-44c9-b522-e49d1792cd11,major_arterial,1.5,1.994,2.0,Arterial Street
a74e3042-60b7-4163-a928-97cdefab0408,major_arterial,1.5,0.000,2.0,Arterial Street
e47ea6d9-4652-4eb6-8aba-ffcd1e841c1a,major_arterial,1.5,0.000,2.0,Arterial Street
a46ab00c-1432-4261-98d6-63f6f2276ec0,major_arterial,1.5,0.847,2.0,Arterial Street
f1a8b1b0-2a6d-49ae-bdd3-ea5892dce16e,major_arterial,1.5,0.000,2.0,Arterial Street
520a02fc-ccf3-4df2-8a34-4cb30b188ae1,major_arterial,1.5,0.000,2.0,Arterial Street
b989c3af-5829-455f-8ded-ff8c47937926,major_arterial,1.5,0.000,2.0,Arterial Street
2a146a38-9e86-4449-b2ff-405b48fb9e44,major_arterial,1.5,0.000,2.0,Arterial Street
1cb4012f-3f6d-450a-b335-47fae5ee1a91,major_arterial,1.5,0.000,2.0,Arterial Street
9c98a4a9-3566-4b4a-b562-d1dca2b3391b,minor_arterial,1.0,0.000,2.0,Urban Boulevard
5ac70394-c770-4599-b3b2-8969d02982f8,major_arterial,1.5,0.000,2.0,Arterial Street
d2f7bb4d-6e3a-4a4e-8fb5-bf5800895b6d,major_arterial,1.5,0.000,2.0,Arterial Street
b01b2919-3869-472d-9f28-7f9889f88345,major_arterial,1.5,0.000,2.0,Arterial Street
d14f43d9-e2b8-48d8-b7b5-b559da00c1e6,major_arterial,1.5,0.000,2.0,Parkway
7c76fa81-e00d-4be8-a347-92f9d8a3fe13,expressway_freeway,2.0,1.517,2.0,Skeletal Road
26356424-1e46-4400-846d-ed0ae690c301,major_arterial,1.5,0.000,2.0,Arterial Street
31d6608b-524b-48eb-b581-e11ffd8d7edd,major_arterial,1.5,0.000,2.0,Arterial Street
c2e4667b-e0ef-4113-a254-a121c627c009,major_arterial,1.5,0.110,2.0,Arterial Street
0b6108c6-5675-42a5-a767-dec6b16c22da,major_arterial,1.5,0.336,2.0,Arterial Street
9dc77d06-c5db-4a09-b3b9-d1c225a04da6,major_arterial,1.5,0.336,2.0,Arterial Street
49fc7cf0-8579-4a12-ace1-a7589be97e22,major_arterial,1.5,0.000,2.0,Arterial Street
3495e4d5-f6e2-46d4-b5be-81fedec75530,major_arterial,1.5,0.000,2.0,Arterial Street
f0c3db02-609c-4f06-aacc-e4179e6a2237,major_arterial,1.5,0.000,2.0,Arterial Street
d02e78c9-feb0-4b35-a47f-33267c306c82,major_arterial,1.5,0.901,2.0,Arterial Street
c677b9a6-2392-46c5-8b00-05e1218b357c,major_arterial,1.5,0.000,2.0,Arterial Street
